stress_id,c6_x,c6_y,gt_x,gt_y,scenario,difficulty,architecture,source_pair_id,c9_x,c9_y,candidate_score,candidate_agreement,c6_error_px,c9_error_px,jump_px,improvement_px,final_x,final_y,accepted,decision_reason,final_error_px,regression,catastrophic_final
171,577.0,140.0,636.0,237.0,combined,hard,dram,19,539.0200794962876,451.94255262284224,0.8050053589009943,0.25,113.53413583587978,235.80798525268324,314.2461304428791,-122.27384941680346,577.0,140.0,False,catastrophic_risk_block,113.53413583587978,False,True
62,406.0,515.0,405.0,514.0,reference_scale,hard,dram,7,412.1485314490244,478.9235029246713,0.6910169129002698,0.5,1.4142135623730951,35.79751596065337,36.59669493555178,-34.38330239828028,406.0,515.0,False,moderate_risk_cell6,1.4142135623730951,False,False
152,271.0,815.0,272.0,816.0,reference_scale,hard,dram,17,271.0,815.0,0.6582646505645715,0.5,1.4142135623730951,1.4142135623730951,0.0,0.0,271.0,815.0,False,moderate_risk_cell6,1.4142135623730951,False,False
207,861.0,720.0,862.0,721.0,combined,hard,finfet,23,861.0,720.0,0.6919447210546914,0.75,1.4142135623730951,1.4142135623730951,0.0,0.0,861.0,720.0,False,moderate_risk_cell6,1.4142135623730951,False,False
288,573.0,581.0,572.0,580.0,combined,hard,finfet,32,573.2289028744328,580.8044267294125,0.8058567253213135,0.75,1.4142135623730951,1.4687765785791218,0.3010737950933297,-0.05456301620602666,573.0,581.0,False,moderate_risk_cell6,1.4142135623730951,False,False
296,105.0,104.0,104.0,103.0,reference_scale,hard,finfet,33,105.0,104.0,0.7328546330333408,0.25,1.4142135623730951,1.4142135623730951,0.0,0.0,105.0,104.0,False,moderate_risk_cell6,1.4142135623730951,False,False
297,103.0,102.0,104.0,103.0,combined,hard,finfet,33,103.0,102.0,0.7328546330333408,0.25,1.4142135623730951,1.4142135623730951,0.0,0.0,103.0,102.0,False,moderate_risk_cell6,1.4142135623730951,False,False
315,643.0,925.0,642.0,924.0,combined,hard,finfet,35,641.8042559257402,924.1955135216912,0.7140977825424615,0.75,1.4142135623730951,0.2766609473198207,1.4411808994394562,1.1375526150532744,643.0,925.0,False,moderate_risk_cell6,1.4142135623730951,False,False
341,212.0,170.0,211.0,169.0,reference_scale,hard,finfet,38,392.9991892286209,542.1350996217517,0.7134228930821191,0.25,1.4142135623730951,415.1547993816402,413.8178812858492,-413.7405858192671,212.0,170.0,False,moderate_risk_cell6,1.4142135623730951,False,False
18,345.0,804.0,610.0,400.0,combined,hard,dram,2,610.0332356575221,399.9047063529424,0.7878285721043783,0.75,483.15732427440236,0.10092317920312045,483.2552352026798,483.05640109519925,610.0332356575221,399.9047063529424,True,catastrophic_strong_consensus_recovery,0.10092317920312045,False,False
